topic,pop_topic_all_mean,pop_topic_wm_diff_mean,pop_topic_all_rhat,pop_topic_wm_diff_rhat,pop_topic_all_c3,pop_topic_all_c97,pop_topic_wm_diff_c3,pop_topic_wm_diff_c97,pop_women,pop_men
FPL,-555.31,242.653,1.11,1.02,-643.387,-468.422,95.508,393.255,-433.98349999999994,-676.6365
PDC,-544.051,34.792,1.04,1.03,-645.529,-443.016,-100.754,171.193,-526.6550000000001,-561.447
07,-357.886,-55.275,1.0,1.0,-667.883,-22.948,-261.115,139.51,-385.5235,-330.24850000000004
OS,-314.978,53.944,1.03,1.01,-441.437,-190.199,-96.146,208.655,-288.00600000000003,-341.95
AL,-302.582,-39.553,1.02,1.0,-365.91,-238.556,-136.329,55.495,-322.3585,-282.8055
AR,-299.484,-35.236,1.01,1.0,-415.589,-185.03,-179.979,104.554,-317.102,-281.866
22,-298.853,43.282,1.04,1.02,-449.499,-149.566,-118.422,211.538,-277.212,-320.494
SPD,-165.228,-33.053,1.01,1.0,-245.653,-85.417,-146.979,79.636,-181.7545,-148.7015
15,-155.773,57.056,1.1,1.03,-288.405,-23.171,-97.638,217.509,-127.245,-184.301
MSF,-139.521,98.511,1.35,1.27,-238.769,-41.782,-46.331,251.04,-90.26549999999999,-188.7765
GIT,-119.699,-67.034,1.0,1.0,-202.836,-38.353,-185.905,48.383,-153.216,-86.18199999999999
NC,-116.114,-19.884,1.01,1.0,-192.483,-38.04,-129.194,90.301,-126.05600000000001,-106.172
DM,-97.14,53.244,1.01,1.01,-172.318,-18.823,-59.612,170.026,-70.518,-123.762
AI,-94.339,-38.81,1.08,1.07,-154.3,-34.742,-126.909,49.635,-113.744,-74.934
SEP,-67.149,65.116,1.0,1.0,-135.527,1.194,-37.614,170.591,-34.591,-99.707
02,-65.487,56.858,1.0,1.0,-231.265,100.361,-111.568,237.474,-37.05799999999999,-93.916
HCI,-45.69,56.543,1.01,1.0,-133.117,43.37,-67.961,187.017,-17.418499999999998,-73.9615
SE,-43.901,-4.336,1.01,1.0,-121.052,33.597,-114.907,104.373,-46.069,-41.733000000000004
04,-41.32,21.007,1.01,1.0,-211.705,131.007,-149.859,192.2,-30.816499999999998,-51.8235
17,-36.456,-10.576,1.01,1.0,-118.059,45.079,-129.47,108.584,-41.744,-31.168000000000003
SEC,-32.876,-22.453,1.01,1.0,-93.024,25.731,-115.358,67.841,-44.1025,-21.649499999999996
16,16.761,7.065,1.0,1.0,-140.928,173.466,-158.532,174.492,20.293499999999998,13.228499999999999
21,34.563,15.63,1.0,1.0,-109.694,180.797,-144.587,178.274,42.378,26.748
03,37.328,-8.515,1.03,1.01,-100.847,174.795,-167.335,149.207,33.0705,41.5855
SDF,274.591,13.059,1.0,1.0,83.287,468.742,-164.544,188.469,281.1205,268.0615
